unique_id,AutoARIMA,AutoTheta,AutoETS,CES,MSTL,SeasonalNaive,WindowAverage,SeasWA,Naive,prophet,best_model
100_CPU,0.01496408,0.019261932,0.028483829,0.017398618,0.018900134,0.016072104,0.08640744,0.016072104,0.09334919,0.06694202208404328,AutoARIMA
101_CPU,0.014811724,0.01562449,0.013560866,0.015620936,0.014252803,0.013278681,0.033698753,0.013278681,0.036440346,0.026693233001907554,SeasonalNaive
102_CPU,0.004810019,0.005218669,0.0421632,0.03176332,0.021549033,0.0039635324,0.004989449,0.0039635324,0.0049580988,0.016322316041105237,SeasonalNaive
103_CPU,0.005738822,0.006077932,0.023394035,0.022748077,0.015100734,0.0043855533,0.0059615197,0.0043855533,0.0061627086,0.01165301793855886,SeasonalNaive
104_CPU,0.0052840505,0.006075419,0.005582734,0.01793138,0.013855788,0.0044118133,0.005422811,0.0044118133,0.0055418923,0.017173660331639622,SeasonalNaive
105_CPU,0.0039301924,0.0038316539,0.0039351503,0.011176817,0.0104544405,0.0028011398,0.0037297988,0.0028011398,0.0038991251,0.02542280931415116,SeasonalNaive
106_CPU,0.01062798,0.010087902,0.01022325,0.010223135,0.010027883,0.010845553,0.010173343,0.010845553,0.0130427545,0.009000799898666317,prophet
107_CPU,0.006618586,0.0063069747,0.0065473528,0.0075017754,0.008211527,0.005592419,0.006185129,0.005592419,0.007913403,0.005922602161697624,SeasonalNaive
108_CPU,0.014165448,0.005370237,0.005448388,0.013985089,0.015188341,0.003938991,0.00526878,0.003938991,0.0057706432,0.010499696211170549,SeasonalNaive
109_CPU,0.0050685015,0.0069578793,0.0318877,0.023880165,0.023512134,0.004296446,0.0053218715,0.004296446,0.0059485366,0.032482413131715626,SeasonalNaive
10_CPU,0.21969858,0.024322206,0.030289331,0.038022764,0.019390766,0.030586435,0.3682356,0.030586435,0.39574164,0.2648992760850728,MSTL
110_CPU,0.0041991314,0.0072493874,0.004199629,0.021484846,0.028130075,0.026469346,0.005302247,0.026469346,0.0042043887,0.12173919501079539,AutoARIMA
111_CPU,0.005641573,0.005226689,0.004402742,0.019233137,0.017880099,0.0081872605,0.004783377,0.0081872605,0.0042169825,0.013806854030358773,Naive
112_CPU,0.00416548,0.0049218102,0.0045203683,0.016060855,0.016610995,0.0036072535,0.0044414583,0.0036072535,0.0047184722,0.018024866433540412,SeasonalNaive
113_CPU,0.0052933977,0.0059810597,0.005458342,0.0146261435,0.014071013,0.0040989937,0.0054474603,0.0040989937,0.005398503,0.013831033676386897,SeasonalNaive
114_CPU,3.49928,0.08342997,16.856895,3.4467347,3.7551126,0.030712979,0.012482473,0.030712979,0.0022267748,2.2561328870030986,Naive
115_CPU,0.3929342,0.07215013,25.074615,4.539979,6.011375,0.012141145,0.00444782,0.012141145,0.0059412015,2.901039200819795,WindowAverage
116_CPU,0.37876764,0.07813374,9.934095,3.44415,3.8229632,0.020030465,0.013130945,0.020030465,0.01571367,1.8586768774988474,WindowAverage
117_CPU,0.39596963,0.055369828,13.100631,4.0689645,3.890068,0.021354593,0.0153614385,0.021354593,0.013836365,2.217226425938734,Naive
118_CPU,0.41677156,0.006746294,35.82056,6.187291,6.7678022,0.021966033,0.009016841,0.021966033,0.014536504,3.0198304913680243,AutoTheta
