unique_id,AutoARIMA,AutoTheta,AutoETS,CES,MSTL,SeasonalNaive,WindowAverage,SeasWA,Naive,prophet,best_model
100_CPU,0.24544503,0.21575285,0.19446467,0.4742953,0.20819232,0.19066639,0.19513026,0.19066639,0.21270524,0.1684145282681124,prophet
101_CPU,2.6357887,0.16382948,0.16229993,1.0506445,0.15842883,0.13190085,0.13082337,0.13190085,0.15844965,0.40211908223760956,WindowAverage
102_CPU,0.11941941,0.10761975,0.11941936,1.2982893,0.10889576,0.18723193,0.14117269,0.18723193,0.118970215,0.19526220307119765,AutoTheta
103_CPU,0.1976791,0.23297071,0.21738668,1.3301839,0.23805289,0.22487463,0.21117932,0.22487463,0.21756713,0.1980901853963591,AutoARIMA
104_CPU,2.206037,0.09572467,0.09660388,1.163325,0.094932824,0.16640617,0.12996683,0.16640617,0.09616961,0.7456934543293396,MSTL
105_CPU,2.7169764,0.4884633,0.49725688,0.9592879,0.4264657,0.4617709,0.44590086,0.4617709,0.50225294,0.6686831164561079,MSTL
106_CPU,1.1455508,1.5343554,1.1462059,0.2957278,1.092164,1.2847736,1.2560229,1.2847736,1.14228,1.1623706993811314,CES
107_CPU,0.9554582,0.1672963,0.16620557,1.0526924,0.15050478,0.21834794,0.18807569,0.21834794,0.16210733,0.19990316184172915,MSTL
108_CPU,0.15461671,0.13850379,0.15392512,1.5732824,0.16356677,0.17033851,0.12505752,0.17033851,0.15800658,0.14041251056450116,WindowAverage
109_CPU,2.3832445,0.1719287,0.16099824,1.2593193,0.17098549,0.17160396,0.13271588,0.17160396,0.1595033,0.22287954824169032,WindowAverage
10_CPU,47.253494,49.808857,47.251606,172.856,47.157734,44.352337,44.001373,44.352337,49.51718,172.55813797689038,WindowAverage
110_CPU,0.33908492,0.4280076,0.33903286,1.5795385,0.33309844,0.42048913,0.3789001,0.42048913,0.33420146,0.3783715559979639,MSTL
111_CPU,0.17622639,0.17168152,0.17643858,1.0763521,0.16005027,0.25564522,0.21545228,0.25564522,0.17850293,0.24180527647356168,MSTL
112_CPU,0.3100527,0.27417737,0.31005353,1.2421876,0.3730505,0.8446628,0.7692407,0.8446628,0.29799578,0.6379972402045377,AutoTheta
113_CPU,2.1007743,0.19573575,0.20448214,1.4001787,0.21311794,0.21608719,0.18501766,0.21608719,0.20656066,0.22768029602699716,WindowAverage
114_CPU,10.91513,7.0971894,7.1217813,7.2356057,7.117419,10.889921,7.418978,10.889921,7.134845,13.607747351749635,AutoTheta
115_CPU,10.190153,10.324276,10.210416,9.970892,10.093596,13.409078,9.757516,13.409078,10.235579,9.601300840195224,prophet
116_CPU,9.180705,9.15936,9.190464,9.120047,9.207212,12.769537,9.1685505,12.769537,9.098684,8.830691080644948,prophet
117_CPU,11.443764,10.980959,10.984862,8.355899,10.33937,12.14781,8.545743,12.14781,26.282791,11.837768961119567,CES
118_CPU,9.241787,12.818235,12.226672,8.297445,14.409375,68.85408,10.168226,68.85408,7.582111,8.008041288133901,Naive
119_CPU,7.992143,7.2112503,7.1013384,7.101112,8.450694,53.343407,9.798168,53.343407,6.940736,8.813797368539579,Naive
