unique_id,AutoARIMA,AutoTheta,AutoETS,CES,MSTL,SeasonalNaive,WindowAverage,SeasWA,Naive,prophet,best_model
100_CPU,0.09092625,0.055798475,0.05845831,0.032278076,0.037012596,0.045622833,0.057199314,0.045622833,0.0570505,0.05767362197146555,CES
101_CPU,0.020789275,0.018921217,0.018387223,0.05433737,0.018028822,0.017352585,0.016361704,0.017352585,0.02000725,0.058375514434173284,WindowAverage
102_CPU,0.067125455,0.07491149,0.06712488,0.12831676,0.068210766,0.070602454,0.068645634,0.070602454,0.067546226,0.06317178926676352,prophet
103_CPU,0.044596396,0.041836817,0.044684276,0.044780143,0.043899514,0.044378974,0.042190064,0.044378974,0.044352446,0.12165001374010573,AutoTheta
104_CPU,0.051273845,0.049645286,0.05116269,0.05739654,0.054431643,0.10435674,0.08907478,0.10435674,0.051304895,0.09979468716887616,AutoTheta
105_CPU,0.17285395,0.04528398,0.04520844,0.049810678,0.045581527,0.049032155,0.046067018,0.049032155,0.04519769,0.07302345632179805,Naive
106_CPU,0.0063570417,0.0064517297,0.0063196504,0.026208093,0.01090497,0.015081333,0.00764252,0.015081333,0.0076061175,0.05608716304082452,AutoETS
107_CPU,0.2659141,0.08561846,0.08587859,0.0818359,0.078722015,0.069067754,0.06310076,0.069067754,0.084147036,0.12184832800376892,WindowAverage
108_CPU,0.05968511,0.05539662,0.059720714,0.06418421,0.06611599,0.059855886,0.051646136,0.059855886,0.059899677,0.05626230431054135,WindowAverage
109_CPU,0.08237505,0.10381273,0.08242752,0.16962413,0.08437091,0.086466745,0.08305692,0.086466745,0.083735056,0.1499881229097387,AutoARIMA
10_CPU,0.49982113,0.43773094,0.5024899,3.064876,0.3953751,0.37750733,0.4622678,0.37750733,0.510184,1.3275336083664935,SeasonalNaive
110_CPU,0.57015115,0.6466559,0.57019114,0.7798283,0.58155954,0.59928143,0.5956661,0.59928143,0.5704926,0.6068500837677416,AutoARIMA
111_CPU,0.09391817,0.10376033,0.094023444,0.18696783,0.09535491,0.103676446,0.1011358,0.103676446,0.093352,0.1058205924537681,Naive
112_CPU,0.15979688,0.06554743,0.065533236,0.07268821,0.0635613,0.096628994,0.08351102,0.096628994,0.06562103,0.09269363449835308,MSTL
113_CPU,0.05699145,0.059980575,0.056959897,0.14218804,0.05730783,0.058378957,0.055004403,0.058378957,0.056416065,0.33363324991427895,WindowAverage
114_CPU,15.846144,15.83818,15.884577,15.713995,16.434864,16.880035,16.115608,16.880035,16.507645,15.393415415277378,prophet
115_CPU,23.724266,23.7538,23.738916,23.511116,24.422546,24.889847,23.954214,24.889847,24.354214,23.489539123663832,prophet
116_CPU,17.897696,17.944916,17.907845,18.077845,19.763863,18.828733,18.091803,18.828733,18.414276,17.58717380944221,prophet
117_CPU,20.389256,20.434269,20.52419,20.080753,21.620924,21.409336,20.627102,21.409336,20.993948,19.52543914874499,prophet
118_CPU,18.954361,19.169949,19.024414,19.041687,20.379856,19.852455,19.163095,19.852455,19.406502,18.655811073807257,prophet
119_CPU,18.87178,19.230404,19.203903,18.825472,20.95847,19.400034,19.27476,19.400034,19.607656,18.429744585663677,prophet
11_CPU,1.8820777,0.26515687,0.25664514,1.2680646,0.2630301,0.25587252,0.24754836,0.25587252,0.22838722,0.3567194551868221,Naive
120_CPU,16.057478,16.33695,16.388407,15.973175,18.3515,16.475832,16.379818,16.475832,16.658367,15.93586438508076,prophet
121_CPU,0.0,0.0020652262,0.15738606,0.69867224,2.2538216,0.0,0.0,0.0,0.0,2.5302645778722765,AutoARIMA
122_CPU,263.06686,264.24634,264.3634,260.03714,263.52026,264.60632,264.82513,264.60632,264.2138,255.10227308545984,prophet
123_CPU,320.7803,297.4494,290.96396,287.88187,292.41644,297.6054,297.48767,297.6054,297.907,286.838797537717,prophet
124_CPU,288.42368,270.21436,266.84988,262.45462,265.92075,270.3015,270.2443,270.3015,270.8053,260.28096906849305,prophet
125_CPU,275.03394,253.64792,250.04431,248.76962,252.04834,254.01071,253.82271,254.01071,253.99138,243.7617244814585,prophet
126_CPU,287.69675,264.6185,262.73474,260.35007,264.41733,265.55963,265.08676,265.55963,264.28317,254.660536421188,prophet
127_CPU,243.2826,245.88486,242.96916,240.67006,243.84833,246.55832,246.21951,246.55832,245.88997,236.06017605953284,prophet
128_CPU,30.21041,21.778526,21.769363,21.782154,22.208105,23.377317,21.842722,23.377317,38.037323,21.142180747433954,prophet
129_CPU,26.072298,21.321844,21.119669,22.711313,22.188526,22.300648,21.280111,22.300648,21.878403,20.36709872763391,prophet
12_CPU,0.778281,1.517904,0.79181683,0.44656613,0.6264588,0.5516117,0.549044,0.5516117,0.7918466,0.07067414272146667,prophet
130_CPU,21.847048,16.54103,16.448343,16.343393,16.694603,15.89065,16.454903,15.89065,16.794016,15.883849180491874,prophet
131_CPU,21.857744,21.855392,21.560305,21.628475,22.636087,21.953201,21.907005,21.953201,21.93956,21.05699640172737,prophet
132_CPU,20.743763,20.775478,20.636686,20.609715,22.107908,20.903778,20.88424,20.903778,20.903263,20.04508374163139,prophet
133_CPU,18.369831,18.358242,18.268494,18.270676,19.524746,18.461641,18.449545,18.461641,18.364994,18.228607176969902,prophet
134_CPU,26.843166,20.98962,20.569687,20.914999,21.702427,21.072006,21.029236,21.072006,21.063852,20.207532265732276,prophet
135_CPU,19.21661,19.203228,18.918518,18.889269,19.76152,19.334347,19.276031,19.334347,19.133303,18.60594556309212,prophet
136_CPU,19.763422,19.749933,19.607515,19.776682,20.489365,19.815708,19.805605,19.815708,19.827055,19.308351979921117,prophet
137_CPU,13.860079,13.905614,13.920744,13.790462,14.64226,13.915706,13.796073,13.915706,14.191371,13.61719031865176,prophet
138_CPU,17.062584,17.013311,17.072206,16.761097,17.729473,17.12384,17.081675,17.12384,17.095922,16.509665802370186,prophet
139_CPU,20.063513,20.167953,19.95812,19.951399,21.418728,20.314758,20.265818,20.314758,20.244997,19.742832566906632,prophet
13_CPU,0.004837452,0.010575808,0.005952854,0.012897936,0.0043540765,0.005267095,0.0044013485,0.005267095,0.007675234,0.00986322516813978,MSTL
140_CPU,18.545692,18.520075,18.579506,18.476192,19.880423,18.664303,18.639011,18.664303,18.50151,18.676503496280038,CES
141_CPU,17.727747,17.66257,17.727186,17.872627,19.017838,17.768673,17.723013,17.768673,17.758121,17.106344767797932,prophet
142_CPU,20.340948,20.282726,20.348898,20.128662,21.73279,20.510681,20.501299,20.510681,20.329092,20.26403090129682,CES
143_CPU,19.528597,19.524324,19.330235,19.39014,20.660532,19.631392,19.576712,19.631392,19.576063,18.75358534794466,prophet
144_CPU,18.549198,18.52723,18.441067,18.647274,19.274933,18.61033,18.572803,18.61033,18.571259,17.934564844057356,prophet
145_CPU,17.756868,17.689896,17.163172,17.793495,18.294794,17.8674,17.818361,17.8674,17.80228,16.752799318925916,prophet
146_CPU,13.245165,13.162199,13.203914,13.372373,14.028956,13.201876,13.290635,13.201876,13.123525,13.036970060157863,prophet
147_CPU,22.162453,22.129581,21.926132,21.959211,23.331038,22.297102,22.289865,22.297102,22.157055,21.57764375169528,prophet
148_CPU,19.940111,19.8756,19.728458,19.759537,20.926386,20.388744,20.18406,20.388744,19.711744,19.52226200053768,prophet
149_CPU,16.292202,16.269262,16.13933,16.299992,17.448689,16.407022,16.425686,16.407022,16.27148,15.704728647575504,prophet
14_CPU,9.176167e-08,1.200566e-05,9.1395655e-08,0.0005166478,0.008182091,0.7961356,0.63893044,0.7961356,0.0,0.8759758534120098,Naive
150_CPU,16.47432,16.414259,16.463974,16.696243,17.575102,16.930742,16.637136,16.930742,16.290825,16.022322885999195,prophet
151_CPU,20.916735,20.842445,20.1939,21.03973,21.022423,20.999146,20.970741,20.999146,20.996677,19.75290063342994,prophet
