unique_id,AutoARIMA,AutoTheta,AutoETS,CES,MSTL,SeasonalNaive,WindowAverage,SeasWA,Naive,prophet,best_model
100_CPU,964379300.0,646639600.0,558706700.0,623432300.0,581795600.0,855875140.0,1117181700.0,855875140.0,968275100.0,705380932.4186665,AutoETS
101_CPU,468444260.0,350021400.0,354334340.0,366921820.0,378018270.0,418429060.0,347032900.0,418429060.0,346407460.0,346621818.0923453,Naive
102_CPU,7186885000.0,952647040.0,1014346050.0,2001428200.0,1925804700.0,1346993900.0,909838200.0,1346993900.0,1288981200.0,1088253439.5996869,WindowAverage
103_CPU,833105600.0,933749760.0,1749137400.0,1460294700.0,1636977500.0,1408096300.0,901189060.0,1408096300.0,873453900.0,1582249148.4810734,AutoARIMA
104_CPU,4229732600.0,1153105400.0,2834639400.0,1835767300.0,2100330500.0,1673329900.0,1285916200.0,1673329900.0,7361001500.0,1417927692.1924775,AutoTheta
105_CPU,903449340.0,764537000.0,958065800.0,1855087400.0,1707428400.0,1205050400.0,752375740.0,1205050400.0,956516030.0,1296562555.5933695,WindowAverage
106_CPU,2142467000.0,494617200.0,411180540.0,408129150.0,387763870.0,1052392000.0,677824300.0,1052392000.0,779918850.0,567733335.7334914,MSTL
107_CPU,536517200.0,647820160.0,488528160.0,398133280.0,468018850.0,1109222800.0,607696960.0,1109222800.0,3279694600.0,397410326.40776473,prophet
108_CPU,859097860.0,872127200.0,876086140.0,1465340400.0,1170520800.0,1410244000.0,869816060.0,1410244000.0,872561150.0,1227082774.5089083,AutoARIMA
109_CPU,1084967400.0,1129713400.0,1288510500.0,1348399600.0,1534306600.0,2430878700.0,1037742100.0,2430878700.0,1166584000.0,843213283.7527968,prophet
10_CPU,2506049800.0,625005800.0,418670100.0,588268400.0,469074200.0,670902660.0,2197603800.0,670902660.0,2608628200.0,1784460410.5238426,AutoETS
110_CPU,1146535400.0,1038452300.0,1886607000.0,1200229500.0,1460614500.0,1118553100.0,1056964900.0,1118553100.0,1255799600.0,1235981594.9070578,AutoTheta
111_CPU,818452500.0,840821600.0,819339100.0,1414768500.0,1277808600.0,1950798300.0,889284540.0,1950798300.0,4415847400.0,1079739676.4792955,AutoARIMA
112_CPU,8359746600.0,919956000.0,1411571200.0,1025641800.0,1246499300.0,1115448700.0,898619100.0,1115448700.0,1041460350.0,786713065.2122383,prophet
113_CPU,4142845000.0,1082668000.0,1121176000.0,2195657700.0,2125255300.0,2042355100.0,1184565800.0,2042355100.0,1223945700.0,1550237880.9179704,AutoTheta
