unique_id,Unnamed: 0,AutoARIMA,AutoTheta,AutoETS,CES,MSTL,SeasonalNaive,WindowAverage,SeasWA,Naive,prophet,best_model
100_CPU,19448827240.52085,1215003783.2400575,1268785787.2585588,1210204039.324583,10494120899.74977,1192251754.9944572,1373000058.533107,1223381345.393142,1373000058.533107,1210948902.436941,6707396657.387913,MSTL
101_CPU,13061395198.917185,4816747743.794471,983543062.3426255,1017215540.7857779,7792942021.017864,1050590360.4958122,1188323519.8254843,824431621.4895601,1188323519.8254843,1182052344.845993,5125684153.623714,WindowAverage
102_CPU,33397524052.11909,2700181766.8830795,2703811994.500839,2750918068.315327,32075510994.8228,2581424486.1272545,6230639362.311311,2862199511.5437517,6230639362.311311,4668126835.519385,2434028250.993807,prophet
103_CPU,29359472384.970448,23414667310.00161,2731668451.447893,2413124506.18233,6682904287.277461,2794958906.956605,6253254292.859475,2898454380.7412767,6253254292.859475,2919207353.6142035,2613238681.7712736,AutoETS
104_CPU,22660763807.895164,2103932914.0776465,2559915556.3945484,1993465888.8201034,22768433862.417625,2182419825.8900824,6144090192.391785,2917764767.0139422,6144090192.391785,2240728894.648825,9335962324.840809,AutoETS
105_CPU,22881638809.268597,1977986475.3767848,2983503230.2492776,2300927250.8905306,23133177817.124367,2458785935.905223,6893905688.094344,2484052857.532012,6893905688.094344,3234922613.076056,12411446906.165977,AutoARIMA
106_CPU,21850593882.968426,19733648395.7346,6554211090.649136,7281331569.258504,19555260155.567703,7127007646.496178,13247643337.082876,8672952007.771843,13247643337.082876,9557032800.287281,10065090707.208536,AutoTheta
107_CPU,21687250086.331005,20476140011.751083,3703358174.429539,3903540359.7776246,20711714770.786484,4436004092.619955,12481995839.960737,7747714779.839505,12481995839.960737,4027080017.6183167,7126709713.704716,AutoTheta
108_CPU,31993653121.603554,29359883076.16696,3119238587.6200223,2553915965.215699,30058830573.828163,2770914567.082461,8969528443.694664,3622332223.2735257,8969528443.694664,3616938035.4170465,5422219137.485428,AutoETS
109_CPU,30929745181.207314,3093632819.4921327,2580910357.0319943,2803744910.0108223,27235844710.91198,2805542408.82681,7219577152.312105,3764478334.0291452,7219577152.312105,2919195734.0444036,6695438413.127843,AutoTheta
10_CPU,105951214871.45514,76048048082.84033,71853293036.97389,82927160598.3208,25720136813.85409,79133809869.49847,47467770272.97458,45665479815.89981,47467770272.97458,89368520717.02628,198722355904.23282,CES
110_CPU,29004282355.336708,26985638705.264774,2896058464.831373,3015637175.464263,27145238545.605152,2776190840.086894,8561932365.54605,3508304163.3930664,8561932365.54605,4431267501.22412,4591633473.873103,MSTL
111_CPU,31460466193.564243,9996664496.425991,2666194633.3531847,2946395188.8719044,29279086816.77653,3171310033.700217,9696507780.813625,4106811711.7853737,9696507780.813625,2353718947.294608,3386255377.694419,Naive
112_CPU,31847691620.92169,2554005272.1299844,2862023161.425486,2600029608.9380226,32326595401.653847,2790674584.537678,6905458777.951252,2905286696.7583747,6905458777.951252,2773876358.6190166,3548685949.474347,AutoARIMA
113_CPU,30487732914.992134,10445025163.589985,3099562163.3910456,3042078753.537882,27442615688.365616,3247896524.674399,6361208439.716418,3321519687.791778,6361208439.716418,4953037493.359542,4479792682.433875,AutoETS
114_CPU,72251200818.50423,69593058993.09033,28996278414.765263,28652932432.899673,23563969548.033882,27197117142.375637,86359825009.49255,24860077295.778065,86359825009.49255,30671875988.89044,20487288747.676052,prophet
115_CPU,56256071335.22852,24492700207.78355,28549005689.812965,26865597502.612522,48617139623.05771,26029219056.598988,74695391967.8316,21863535207.14263,74695391967.8316,28449488072.090206,18650528236.14945,prophet
