unique_id,AutoARIMA,AutoTheta,AutoETS,CES,MSTL,SeasonalNaive,WindowAverage,SeasWA,Naive,prophet,best_model
100_CPU,533260480.0,547578800.0,423649860.0,429308670.0,455413120.0,711691600.0,552305540.0,711691600.0,1236342800.0,493712529.31848234,AutoETS
101_CPU,436967870.0,381076500.0,366474500.0,577644740.0,434671040.0,663881500.0,310931600.0,663881500.0,553923260.0,345753960.63031447,WindowAverage
102_CPU,2863146200.0,2795885800.0,2875423700.0,3199788000.0,2550628600.0,3016689000.0,2306040000.0,3016689000.0,5748519400.0,2271858852.644397,prophet
103_CPU,3918970000.0,3873336000.0,4048839400.0,4792263000.0,3945490400.0,3873826300.0,2810679300.0,3873826300.0,5972810000.0,2466193161.7420907,prophet
104_CPU,2518599200.0,2506620700.0,2573000700.0,2609748000.0,2504436500.0,3036624100.0,2444027000.0,3036624100.0,2460099800.0,2335888122.7589326,prophet
105_CPU,1971010600.0,1932213600.0,1971087600.0,1941290400.0,2048475400.0,2826934000.0,2011958900.0,2826934000.0,1677280000.0,1795092545.1712313,Naive
106_CPU,805439600.0,805074940.0,809985540.0,787863040.0,753025600.0,1093636400.0,796493500.0,1093636400.0,803577900.0,3126515111.627852,MSTL
107_CPU,735140740.0,730139970.0,732698240.0,799420740.0,833862340.0,1031132400.0,734536400.0,1031132400.0,744141700.0,4303635396.556071,AutoTheta
108_CPU,2137966800.0,2178132700.0,2168099800.0,2160482000.0,2222717000.0,3686419500.0,2272082200.0,3686419500.0,2368595500.0,2175379960.278304,AutoARIMA
109_CPU,2180905200.0,2189963800.0,2180858000.0,2161249300.0,2311396000.0,2930600400.0,2284900900.0,2930600400.0,2212269300.0,2332285666.662893,CES
10_CPU,1914615600.0,1914801200.0,1914969700.0,24045818000.0,1633041000.0,1778783000.0,2021808000.0,1778783000.0,1729177500.0,4973826304.537076,MSTL
110_CPU,2637882600.0,2572944600.0,2637385200.0,2615988700.0,2784199400.0,3803764500.0,2471891200.0,3803764500.0,2301297200.0,2551442755.493029,Naive
111_CPU,2054292900.0,2044807300.0,2055533600.0,2122998500.0,2239263200.0,3156847400.0,2184655400.0,3156847400.0,2250663400.0,2248244436.3293395,AutoTheta
112_CPU,2500033800.0,2410199600.0,2485959200.0,2295305200.0,2738719500.0,2816652500.0,2215212300.0,2816652500.0,2193001700.0,2137266562.5048633,prophet
113_CPU,2029121300.0,1993525000.0,2043088300.0,2004022800.0,2014369200.0,3108526300.0,1877844700.0,3108526300.0,3817658000.0,1909642052.9468236,WindowAverage
114_CPU,35018195000.0,37490237000.0,36945580000.0,59552813000.0,35931600000.0,55429575000.0,33889948000.0,55429575000.0,34601546000.0,42219494159.45609,WindowAverage
115_CPU,37879947000.0,38315510000.0,37888170000.0,53546450000.0,39053144000.0,55482016000.0,37317750000.0,55482016000.0,37629874000.0,39085662009.48379,WindowAverage
116_CPU,27912684000.0,27232370000.0,26988777000.0,55519370000.0,33606430000.0,46688334000.0,26973487000.0,46688334000.0,27752500000.0,34763889739.79616,WindowAverage
117_CPU,30939720000.0,31571028000.0,31962765000.0,30167673000.0,36219097000.0,42582032000.0,30747568000.0,42582032000.0,34889770000.0,32768833941.98301,CES
118_CPU,31504990000.0,33344117000.0,33962721000.0,53040240000.0,32296217000.0,43632968000.0,32073802000.0,43632968000.0,34317100000.0,31223421012.538086,prophet
119_CPU,44106390000.0,49317114000.0,51096080000.0,87882680000.0,66949210000.0,49353716000.0,46280077000.0,49353716000.0,47080886000.0,36643471187.03212,prophet
11_CPU,387034560.0,382026850.0,386988860.0,1336309800.0,427298660.0,721100800.0,403323070.0,721100800.0,378612400.0,840231514.7293234,Naive
120_CPU,44710680000.0,49837007000.0,52784770000.0,91039244000.0,68258460000.0,50537804000.0,47495180000.0,50537804000.0,57824640000.0,37146699262.36089,prophet
